doi,mof_name,metal_1,metal_1_amount_value,metal_1_amount_unit,linker_1,linker_1_amount_value,linker_1_amount_unit,solvent_main,solvent_main_ml,temperature_c,time_h,time_text,M_L_ratio,metel_concnertation
10.1038/s41560-018-0261-6,PCN-222,ZrCl4,0.321839,mmol,tetrakis(4-carboxyphenyl)porphyrin,0.0632271,mmol,"N,N-diethylformamide",8,120,48,48 h,5.09,40
10.1038/s41560-018-0261-6,PCN-224,ZrCl4,0.643677,mmol,tetrakis(4-carboxyphenyl)porphyrin,0.0632271,mmol,dimethylformamide,10,120,24,24 h,10.18,64
10.1038/s41560-018-0261-6,MOF-808,ZrOCl2·8H2O,6.70292,mmol,"benzene-1,3,5-tricarboxylic acid",7.09051,mmol,dimethylformamide,128,110,48,48 h,0.95,52
10.1038/s41560-018-0261-6,UiO-66,ZrCl4,3,mmol,terephthalic acid,3,mmol,dimethylformamide,20,120,24,24 h,1.00,150
10.1038/s41560-018-0261-6,MIL-101(Cr),Cr(NO3)3·9H2O,1,mmol,terephthalic acid,1,mmol,water,4.8,220,8,8 h,1.00,208
10.1038/s41560-018-0261-6,MOF-801,ZrOCl2·8H2O,10,mmol,fumaric acid,10,mmol,dimethylformamide,32,130,6,6 h,1.00,312
10.1021/acs.cgd.6b01732,calixMOF1,Cu(NO3)2·1H2O,0.205,mmol,tetracarboxylic meta-substituted four-wall aryl-extended calix[4]pyrrole,0.411,mmol,dimethylformamide,45,100,24,24 h,0.50,5
10.1021/acsami.5c01476,NH2-MIL-101(Fe),FeCl3·6H2O,1.00003,mmol,2-aminoterephthalic acid,1.00028,mmol,ethanol,7,25,12,12 h,1.00,143
10.1021/acsami.5c01476,NH2-MIL-101(Fe),FeCl3·6H2O,2.49729,mmol,2-aminoterephthalic acid,1.24206,mmol,dimethylformamide,15,110,12,12 h,2.01,166
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,1.362,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,1.00,45
10.1021/acs.cgd.6b01533,UiO-66,ZrCl4,2.724,mmol,terephthalic acid,1.362,mmol,dimethylformamide,30,120,24,24 h,2.00,91
10.1016/j.cattod.2006.09.003,,FeCl2·4H2O,0.38,mmol,"2,3,5,6-tetrafluorobenzene-1,4-dicarboxylic acid",0.13,mmol,dimethylformamide,1,25,,,2.92,380
