doi,article_trial_or_failure,article_trial_or_failure_notes,mof_name,crystal_code,metal_1,metal_1_abbr,metal_1_amount_text,metal_1_amount_value,metal_1_amount_unit,metal_2,metal_2_abbr,metal_2_amount_text,metal_2_amount_value,metal_2_amount_unit,metal_3,metal_3_abbr,metal_3_amount_text,metal_3_amount_value,metal_3_amount_unit,linker_1,linker_1_abbr,linker_1_amount_text,linker_1_amount_value,linker_1_amount_unit,linker_2,linker_2_abbr,linker_2_amount_text,linker_2_amount_value,linker_2_amount_unit,linker_3,linker_3_abbr,linker_3_amount_text,linker_3_amount_value,linker_3_amount_unit,modulator_1,modulator_1_abbr,modulator_1_amount_text,modulator_1_amount_value,modulator_1_amount_unit,modulator_2,modulator_2_abbr,modulator_2_amount_text,modulator_2_amount_value,modulator_2_amount_unit,solvent_main,solvent_main_abbr,solvent_main_amount_text,solvent_main_ml,solvent_secondary,solvent_secondary_abbr,solvent_secondary_amount_text,solvent_secondary_ml,temperature_c,temperature_c_text,time_h,time_text,vessel_type,stirring,washing_solvent,washing_cycles,activation_text,activation_temp_c,activation_time_h,crystal_morphology,yield_percent,crystal_size,topology_code,metal_cluster_connectivity,unit_cell_short,pore_diameter_A,BET_surface_area_m2g,air_stable,water_stable,tga_decomposition_temp_c,applications,reference,status,error
10.1038/s41560-018-0261-6,no,,PCN-222,,ZrCl4,,75 mg,0.321839,mmol,,,,,,,,,,,tetrakis(4-carboxyphenyl)porphyrin,H2TCPP,50 mg,0.0632271,mmol,,,,,,,,,,,benzoic acid,,2.7 g,2.7,g,,,,,,"N,N-diethylformamide",DEF,8 mL,8,,,,,120,,48,48 h,glass vial,sonicated 20 min; then static,,,,,,,,,csq,,,,,not_reported,not_reported,,,10.1038/s41560-018-0261-6,ok,
10.1038/s41560-018-0261-6,no,,PCN-224,,ZrCl4,,150 mg,0.643677,mmol,,,,,,,,,,,tetrakis(4-carboxyphenyl)porphyrin,H2TCPP,50 mg,0.0632271,mmol,,,,,,,,,,,benzoic acid,,2.0 g,2,g,,,,,,dimethylformamide,DMF,10 mL,10,,,,,120,,24,24 h,glass vial,sonicated 20 min; then static,,,,,,,,,csq,,,,,not_reported,not_reported,,,10.1038/s41560-018-0261-6,ok,
10.1038/s41560-018-0261-6,no,,MOF-808,,ZrOCl2·8H2O,,2.16 g,6.70292,mmol,,,,,,,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,1.49 g,7.09051,mmol,,,,,,,,,,,formic acid,,133 mL,133,mL,,,,,,dimethylformamide,DMF,128 mL,128,,,,,110,,48,48 h,thick-glass jar (sealed),stirred 20 min before heating; then static,"DMF, acetone",,refluxed in DMF and acetone; air dried,,,,,,,,,,,not_reported,not_reported,,,10.1038/s41560-018-0261-6,ok,
10.1038/s41560-018-0261-6,no,,UiO-66,,ZrCl4,,"700 mg, 3 mmol",3,mmol,,,,,,,,,,,terephthalic acid,BDC,"500 mg, 3 mmol",3,mmol,,,,,,,,,,,acetic acid,,5 mL,5,mL,,,,,,dimethylformamide,DMF,20 mL,20,,,,,120,,24,24 h,round bottom flask,stirred,,,,,,,,,ftw,,,,,not_reported,not_reported,,,10.1038/s41560-018-0261-6,ok,
10.1038/s41560-018-0261-6,no,,MIL-101(Cr),,Cr(NO3)3·9H2O,,"400 mg, 1 mmol",1,mmol,,,,,,,,,,,terephthalic acid,BDC,"164 mg, 1 mmol",1,mmol,,,,,,,,,,,hydrofluoric acid (HF),,1 mmol,1,mmol,,,,,,water,H2O,4.8 mL,4.8,,,,,220,,8,8 h,Teflon-lined autoclave,static,,,,,,,,,mtm,,,,,not_reported,not_reported,,,10.1038/s41560-018-0261-6,ok,
10.1038/s41560-018-0261-6,no,,MOF-801,,ZrOCl2·8H2O,,10 mmol,10,mmol,,,,,,,,,,,fumaric acid,,10 mmol,10,mmol,,,,,,,,,,,formic acid,,11 mL,11,mL,,,,,,dimethylformamide,DMF,32 mL,32,,,,,130,,6,6 h,Teflon-lined autoclave,static,"DMF, MeOH",three times,150 °C under vacuum for 6 h,150,6,,,,,,,,827,not_reported,not_reported,,,10.1038/s41560-018-0261-6,ok,
10.1021/acs.cgd.6b01732,yes,No crystalline material without water layering or in homogeneous DMF/H2O.,calixMOF1,1519368,Cu(NO3)2·1H2O,,45 mg (0.205 mmol),0.205,mmol,,,,,,,,,,,tetracarboxylic meta-substituted four-wall aryl-extended calix[4]pyrrole,L1,400 mg (0.411 mmol),0.411,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,45 mL,45,water,H2O,21 mL (layered under DMF),21,100,100 °C,24,24 h,Teflon-lined autoclave,static,"DMF, EtOH",,dried at 80 °C for 24 h,80,24,blue crystalline powder; single crystals obtained under layered DMF/H2O,,,,Cu4(μ3-OH)2 cluster; two edge-sharing Cu3(OH) triangles,"a=16.241(2), b=16.868(3), c=26.290(2) Å, α=89.457(10)°, β=72.01(2)°, γ=88.243(14)°, P-1",,,not_reported,not_reported,200,,10.1021/acs.cgd.6b01732,ok,
10.1021/acsami.5c01476,yes,No solid with [EMIm]BF4 only; ethanol only gave 11.34% yield; interface gave 97.49%.,NH2-MIL-101(Fe),,FeCl3·6H2O,FeCl3·6H2O,270.3 mg,1.00003,mmol,,,,,,,,,,,2-aminoterephthalic acid,H2ATA,181.2 mg,1.00028,mmol,,,,,,,,,,,,,,,,,,,,,ethanol,EtOH,7 mL,7,1-ethyl-3-methylimidazolium tetrafluoroborate,,7 mL,7,25,room temperature,12,12 h,,,MeOH,,60 °C under vacuum,60,,stacked nanocrystals,97.49,60-100 nm,,,,,1886.7,not_reported,not_reported,250,CO2_capture;cycloaddition catalysis,10.1021/acsami.5c01476,ok,
10.1021/acsami.5c01476,yes,No solid with [EMIm]BF4 only; ethanol only gave 11.34% yield; interface gave 97.49%.,NH2-MIL-101(Fe),,FeCl3·6H2O,FeCl3·6H2O,675 mg,2.49729,mmol,,,,,,,,,,,2-aminoterephthalic acid,H2ATA,225 mg,1.24206,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,7.5 mL + 7.5 mL,15,,,,,110,110 °C,12,12 h,vial,,"DMF, EtOH",,60 °C under vacuum,60,,microcrystals,,0.44–0.80 μm,,,,,1852.3,not_reported,not_reported,250,CO2_capture;cycloaddition catalysis,10.1021/acsami.5c01476,ok,
10.1021/acs.cgd.6b01533,yes,"At ZrCl4/H2BDC = 1:2 with Cu2O (R=1.2), product was amorphous/low crystallinity (sample 3a).",UiO-66,,ZrCl4,ZrCl4,0.317 g (1.362 mmol),1.362,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.226 g (1.362 mmol),1.362,mmol,,,,,,,,,,,acetic acid,AcOH,2.5 mL,,,,,,,,dimethylformamide,DMF,30 mL,30,,,,,120,120 °C,24,24 h,Teflon-lined autoclave (100 mL),ultrasonicated to dissolve; static during heating,"DMF, MeOH, H2O",several times,dried under vacuum at 60 °C overnight,60,,octahedra,,mean crystal size ~265 nm,,,,,1358,not_reported,not_reported,,,10.1021/acs.cgd.6b01533,ok,
