doi,mof_name,metal_1,metal_1_amount_value,metal_1_amount_unit,linker_1,linker_1_amount_value,linker_1_amount_unit,solvent_main,solvent_main_ml,temperature_c,time_h,time_text
10.1038/s41560-018-0261-6,MIP-200,ZrCl4,3.74,mmol,"3,3′,5,5′-tetracarboxydiphenylmethane",1.25,mmol,acetic anhydride,35,120,72,48–72 h
10.1038/s41560-018-0261-6,MIL-100(Fe),iron powder,1,mmol,"benzene-1,3,5-tricarboxylic acid",0.66,mmol,water,5,150,144,6 days
10.1038/s41560-018-0261-6,MIL-127(Fe),FeCl3·6H2O,2.8,g,"3,3′,5,5′-azobenzenetetracarboxylate",1.8,g,isopropanol,18,85,24,24 h
10.1038/s41560-018-0261-6,PCN-222,ZrCl4,75,mg,tetrakis(4-carboxyphenyl)porphyrin,50,mg,"N,N-diethylformamide",8,120,48,48 h
10.1038/s41560-018-0261-6,PCN-224,ZrCl4,150,mg,tetrakis(4-carboxyphenyl)porphyrin,50,mg,"N,N-dimethylformamide",10,120,24,24 h
10.1038/s41560-018-0261-6,MIL-160(Al),AlCl3·6H2O,6,mmol,"2,5-furandicarboxylic acid",6,mmol,water,20,,24,24 h
10.1038/s41560-018-0261-6,MOF-808,ZrOCl2·8H2O,2.16,g,"benzene-1,3,5-tricarboxylic acid",1.49,g,"N,N-dimethylformamide",128,110,48,48 h
10.1038/s41560-018-0261-6,PCN-777,ZrOCl2·8H2O,360,mg,"4,4′,4″-s-triazine-2,4,6-triyl-tribenzoic acid",90,mg,"N,N-diethylformamide",12,120,12,12 h
10.1038/s41560-018-0261-6,NU-1000,ZrOCl2·8H2O,388,mg,"4,4′,4″,4″′-(pyrene-1,3,6,8-tetrayl)tetrabenzoic acid",160,mg,"N,N-dimethylformamide",32,,,preheat 1 h; then 16 h
10.1038/s41560-018-0261-6,UiO-66,ZrCl4,3,mmol,terephthalic acid,3,mmol,"N,N-dimethylformamide",20,120,24,24 h
10.1038/s41560-018-0261-6,MIL-140A,ZrCl4,3,mmol,terephthalic acid,6,mmol,"N,N-dimethylformamide",16,,8,reflux 8 h
10.1038/s41560-018-0261-6,MIL-140B,ZrCl4,3,mmol,"2,6-naphthalenedicarboxylic acid",6,mmol,"N,N-dimethylformamide",16,,8,reflux 8 h
10.1038/s41560-018-0261-6,NH2-MIL-125(Ti),titanium isopropoxide (Ti(iPrO)4),7.5,mL,2-aminoterephthalic acid,6.88,g,"N,N-dimethylformamide",100,,96,4 days
10.1038/s41560-018-0261-6,MIL-91(Ti),TiO(acac)2,4.5,g,"N,N′-piperazine-bismethylenephosphonic acid",4.7,g,water,120,,,overnight
10.1038/s41560-018-0261-6,NH2-UiO-66,ZrCl4,4.66,g,2-aminoterephthalic acid,3.62,g,"N,N-dimethylformamide",50,,24,24 h
10.1038/s41560-018-0261-6,MIL-101(Cr),Cr(NO3)3·9H2O,1,mmol,terephthalic acid,1,mmol,water,4.8,220,8,8 h
10.1038/s41560-018-0261-6,MOF-801,ZrOCl2·8H2O,10,mmol,fumaric acid,10,mmol,"N,N-dimethylformamide",32,130,6,6 h
10.1021/acs.cgd.6b01732,calixMOF1,Cu(NO3)2 × H2O,0.205,mmol,tetracarboxylic meta-substituted four-wall aryl-extended calix[4]pyrrole,0.411,mmol,"N,N-dimethylformamide",45,100,24,24 h
10.1021/acsami.5c01476,NH2-MIL-101(Fe),iron(III) chloride hexahydrate,270.3,mg,2-aminoterephthalic acid,181.2,mg,ethanol,7,,12,12 h
10.1021/acsami.5c01476,NH2-MIL-101(Fe),iron(III) chloride hexahydrate,675,mg,2-aminoterephthalic acid,225,mg,"N,N-dimethylformamide",,110,12,12 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
10.1021/acs.cgd.6b01533,UiO-66,zirconium tetrachloride,1.362,mmol,terephthalic acid,1.362,mmol,"N,N-dimethylformamide",30,120,24,24 h
