DOI,Publication Year
10.1002/anie.202000299,2020
10.1002/cctc.201402546,2014
10.1002/chem.200801856,2009
10.1002/chem.201901939,2019
10.1002/chem.202402363,2024
10.1002/ejic.201000402,2010
10.1002/ejic.201301010,2013
10.1002/ejic.201500133,2015
10.1016/j.cattod.2006.09.003,2007
10.1016/j.ica.2004.07.029,2005
10.1016/j.ica.2012.01.011,2012
10.1016/j.micromeso.2015.07.001,2015
10.1021/acs.cgd.1c00385,2021
10.1021/acs.cgd.6b01533,2017
10.1021/acs.cgd.6b01732,2017
10.1021/acs.cgd.9b00611,2019
10.1021/acs.inorgchem.0c02674,2020
10.1021/acs.inorgchem.3c04060,2024
10.1021/acs.inorgchem.9b01408,2019
10.1021/acsami.5c01476,2025
10.1021/cg070144q,2007
10.1021/cg201059d,2012
10.1021/cg401825f,2014
10.1021/ic000209d,2000
10.1021/ic500234r,2014
10.1021/ja905690t,2009
10.1038/s41560-018-0261-6,2018
10.1039/b713705b,2008
10.1039/c2ce25081k,2012
10.1039/c2dt11966h,2012
10.1039/c3ce41095a,2013
10.1039/c3dt53167h,2014
10.1039/c5ra10799g,2015
10.1039/c6nj00822d,2016
10.1039/c7dt01084b,2017
10.1039/c7dt01116d,2017
10.1039/c9dt04836g,2020
10.1039/d1mh01663f,2021
