formamide,45.041
ethylenediamine,60.1
imidazole,68.08
"1,2,4-triazole",69.07
pyrazine,80.09
2-methyl imidazole,82.1
2-methyl-imidazole,82.1
2-methylimidazole,82.1
"3-methyl-1H-1,2,4-triazole",83.09
"3-amino-1,2,4-triazole",84.08
imidazole-2-carbaldehyde,96.09
imidazole-2-carboxaldehyde,96.09
pyrimidin-2-ol,96.09
2-ethylimidazole,96.13
"1,2,4-triazole-3-thiol",101.13
malonic acid,104.06
4-methyl-5-imidazolecarboxaldehyde,110.11
1H-pyrazole-4-carboxylic acid,112.09
acetylenedicarboxylic acid,114.06
squaric acid,114.06
fumaric acid,116.07
succinic acid,118.09
"4,5-dicyanoimidazole",118.1
benzimidazole,118.14
tris,121.14
isonicotinic acid,123.11
oxalic acid dihydrate,126.07
melamine,126.12
sodium oxalate,134
DL-malic acid,134.09
"4,5-dichloroimidazole",136.96
5-hydroxynicotinic acid,139.11
isonicotinic acid N-oxide,139.11
muconic acid,142.11
"trans, trans-muconic acid",142.11
adipic acid,146.14
L-glutamic acid,147.13
L-Glutamic acid,147.13
2-(1H-tetrazol-5-yl)pyrimidine,148.13
2-carboxyethylphosphonic acid,154.06
"2,5-furandicarboxylic acid",156.09
"imidazole-4,5-dicarboxylic acid",156.1
"bicyclo[1.1.1]pentane-1,3-dicarboxylic acid",156.14
"Bicyclo[1.1.1]pentane-1,3-dicarboxylic acid",156.14
phenylphosphonic acid,158.09
sodium salicylate,160.1
benzotriazole-5-carboxylic acid,163.13
"1,4-benzenecarboxylic acid",164.11
"benzene-1,4-dicarboxylate",164.11
"1,2-bis(1,2,4-triazol-1-yl)ethane",164.17
"1,3-benzenedicarboxylic acid",166.13
"1,4-benzenedicarboxylic acid",166.13
"1,4-dicarboxybenzene",166.13
"benzene-1,3-dicarboxylic acid",166.13
"benzene-1,4-dicarboxylic acid",166.13
isophthalic acid,166.13
P-phthalic acid,166.13
Terephthalic acid,166.13
terephthalic acid,166.13
"2,5-pyridinedicarboxylic acid",167.12
"3,5-pyridinedicarboxylic acid",167.12
"pyridine-2,3-dicarboxylic acid",167.12
"pyridine-2,5-dicarboxylic acid",167.12
"pyridine-2,6-dicarboxylic acid",167.12
"pyridine-3,5-dicarboxylic acid",167.12
tetrahydroxyquinone,172.09
"2,5-thiophenedicarboxylic acid",172.16
"1,4-cyclohexanedicarboxylic acid",172.18
"trans-1,4-cyclohexanedicarboxylic acid",172.18
4-pyridylacetic acid hydrochloride,173.6
hexahydroxybenzene,174.11
"1,3-bis(1,2,4-triazol-1-yl)propane",178.2
2-methylterephthalic acid,180.16
"1,10-phenanthroline",180.2
2-amino terephthalic acid,181.15
"2-amino-1,4-benzenedicarboxylic acid",181.15
"2-aminobenzene-1,4-dicarboxylic acid",181.15
2-aminoterephthalic acid,181.15
aminoterephthalic acid,181.15
L-tyrosine,181.19
"2-hydroxy-1,4-benzenedicarboxylic acid",182.13
2-hydroxyterephthalic acid,182.13
chelidamic acid hydrate,183.12
"1,2-bis(4-pyridyl)ethane",184.24
gallic acid monohydrate,188.13
4-(imidazol-1-yl)-benzoic acid,188.18
azelaic acid,188.22
"4-(4-carboxyphenyl)-1,2,4-triazole",189.17
4-(1H-tetrazol-5-yl)-benzoic acid,190.16
"1,4-di(1H-imidazol-1-yl)butane",190.25
"1,4-cubanedicarboxylic acid",192.17
2-vinylterephthalic acid,192.17
4-(2-carboxyvinyl)benzoic acid,192.17
"cubane-1,4-dicarboxylic acid",192.17
"1,2-phenylenediacetic acid",194.18
"1,3-phenylenediacetic acid",194.18
