metal,linker
Zn,nan
Zn,"2,5-furandicarboxylic acid"
Zn,"2,4,6-tri(4-pyridyl)-1,3,5-triazine"
Zn,"bis-(3,5-dicarboxyphenyl)terephthalamide"
Zn,"pyrazine-2,3-dicarboxylic acid"
Zn,"2,2′-bipyridine-5,5′-dicarboxylic acid"
Zn,"1,3,6,8-tetrakis(p-benzoic acid)pyrene"
Zn,4-aminobenzoic acid
Zn,L-tartaric acid
Zn,"5-(3,5-dicarboxybenzyloxy)isophthalic acid"
Zn,5-(4-pyridyl)-isophthalic acid
Zn,5-(isonicotinamido)isophthalic acid
Zn,"1H-benzimidazole-5,6-dicarboxylic acid"
Zn,"bicyclo[1.1.1]pentane-1,3-dicarboxylic acid"
Zn,"2,2′-bipyridine-3,3′-dicarboxylic acid"
Zn,"2,4,6-tri(4-pyridyl)pyridine"
Zn,"4,4′,4″,4‴-(Porphine-5,10,15,20-tetrayl)tetrakis(benzoic acid)"
Zn,"1H-imidazo[4,5-f][1,10]-phenanthroline"
Zn,"4,4′-bis(imidazolyl)biphenyl"
Zn,L-aspartic acid
Zn,"[1,1′:4′,1″]terphenyl-3,3″,5,5″-tetracarboxylic acid"
Zn,"biphenyl-4,4′-diacetic acid"
Zn,"methylenebis(3,5-dimethylpyrazole)"
Zn,"1,4,5,8-naphthalenetetracarboxylic dianhydride"
Zn,"2,2-dimethylsuccinic acid"
Zn,"4′-(2-carboxyphenyl)-4,2′:6′,4″-terpyridine"
Zn,"1,3,5-tri(4-pyridyl)benzene"
Zn,"2-aminobenzene-1,4-dicarboxylate"
Zn,"4,4′,4″-s-triazine-2,4,6-triyl-tribenzoic acid"
Zn,"4,4′-azobenzenedicarboxylic acid"
Zn,"1,1′:4′,1″-terphenyl-3,3″,5,5″-tetracarboxylic acid"
Zn,"1,2,3-triazole"
Zn,"1,4-bis(2-methylimidazol-1-yl)butane"
Zn,"3,5-di(imidazol-1-yl)benzoic acid"
Zn,"4,8-disulfonyl-2,6-naphthalenedicarboxylic acid"
Zn,5-(3-pyridylmethoxy)isophthalic acid
Zn,"Bicyclo[2.2.2]octane-1,4-dicarboxylic acid"
Zn,oxalate
Zn,"1,1'-ferrocenedicarboxylic acid"
Zn,"1,4-phenylenediacetate"
Zn,"1,5-naphthalenedisulfonate"
Zn,"2,2′-bipyrimidine"
Zn,"3,3′-((5-carboxy-1,3-phenylene)bis(oxy))dibenzoic acid"
Zn,"4,4′,4″,4′′′-benzene-2,3,5,6-tetrayl-tetrabenzoate"
Zn,"4,4′,4″,4′′′-pyrazine-2,3,5,6-tetrayl-tetrabenzoate"
Zn,"4,4′-((5-carboxy-1,3-phenylene)bis(oxy))dibenzoic acid"
Zn,"4-carboxy-1-(3,5-dicarboxy-benzyl)-pyridinium chloride"
Zn,"1,3,5-Tri(4-pyridyl)benzene"
Zn,"3,3’,4,4’-diphenylsulfonetetracarboxylic acid"
Zn,adipamide
Zn,benzene tribenzoate
Zn,"biphenylethene-4,4'-dicarboxylic acid"
Zn,"lithium 1-(4-pyridinylmethyl)-1H-1,2,4-triazole-3-carboxylate"
Zn,"1,2,3,4,5,6-cyclohexanehexacarboxylic acid hydrate"
Zn,"2,2′-biphenic acid"
Zn,2-(carboxylmethoxy)terephthalic acid
Zn,"2-(pyridin-2-yl)-1H-imidazole-4,5-dicarboxylic acid"
Zn,"3,5-disulfobenzoic acid, disodium salt"
Zn,"9,10-di(1H-imidazol-1-yl)anthracene"
Zn,carboxylate-functionalized naphthalene diimide linker
Zn,tetrakis(4-carboxyphenyl)ethylene
Zn,(3-carboxyl-phenyl)-(4-(2′-carboxyl-phenyl)-benzyl) ether
Zn,"1,3,5-benzenetrisbenzoic acid"
Zn,"2,2'-bipyridine-5,5'-dicarboxylic acid"
Zn,"2-(5-bromo-pyridin-3-yl)-1H-imidazole-4,5-dicarboxylic acid"
Zn,2-dihydroxymalonic acid
Zn,"3,5-bi(4-carboxy-phenoxy)-benzoic acid"
Zn,3-(2′3′-dicarboxylphenoxy)benzoic acid
Zn,"4,4′,4″-((1,3,5-triazine-2,4,6-triyl)tris(azanediyl)) tribenzoic acid"
Zn,"5-(2,6-bis(4-carboxyphenyl)pyridin-4-yl)isophthalic acid"
Zn,5-methyl-2-pyrazinecarboxylic acid
Zn,"N,N′-bis(pyridin-3-ylmethyl)ethane-1,2-diamine"
Zn,isonicotinic acid N-oxide
Zn,"sodium 1,3,5-benzenetricarboxylate"
Zn,"1,1′-ethynebenzene-3,3′,5,5′-tetracarboxylate"
Zn,"1,3,5-triazine-2,4,6-triamine hexaacetic acid"
Zn,"1,4-bis(1,2,4-triazol-1-ylmethyl)benzene"
Zn,"2,20:40,400:200,2000-quarterpyridyl-60,600-di-2-pyridine"
Zn,2-(pyridyl-N-oxide)methylphosphonic acid
Zn,"3,4-pyridinedicarboxylic acid"
Zn,"4,8-diaminonaphthalene-2,6-dicarboxylic acid"
Zn,4-(4′-phosphonophenoxy)phenyl phosphonic acid
Zn,"5,15-di(p-benzoato)porphyrin"
Zn,5-(2′-carboxylphenyl) nicotinic acid
Zn,[Co(Hdcbpy)3]·6H2O
Zn,"biphenyl-2,4,4′-tricarboxylic acid"
Zn,"biphenyl-3,2′,5′-tricarboxylic acid"
Zn,"nickel(II) 5,10,15,20-tetrakis(3,4-dihydroxyphenyl)porphyrin"
Zn,"trans, trans-muconic acid"
Zn,"1,10-phenanthroline monohydrate"
Zn,"1,1′:3,1′′-terphenyl-4,4′′,5′-tricarboxylic acid"
Zn,1-(4-(4-(1H-imidazol-1-yl)benzyloxy)phenyl)-1H-imidazole
Zn,"2,2′-oxydiacetic acid"
Zn,"2-(3,5-dicarboxybenzyloxy) benzoic acid"
Zn,"2′-amino-[1,1′:4′,1″-terphenyl]-4,4″-dicarboxylic acid"
