DOI,Classification
10.1002/adem.201400565,Chemical synthesis
10.1002/adem.202201335,Functional materials
10.1002/adem.202400825,Functional materials
10.1002/adfm.200600944,Functional materials
10.1002/adfm.200901461,Functional materials
10.1002/adfm.201002517,Functional materials
10.1002/adfm.201002529,Chemical synthesis
10.1002/adfm.201101479,Functional materials
10.1002/adfm.201400116,Functional materials
10.1002/adfm.201402972,Theory & modeling
10.1002/adfm.201503154,Functional materials
10.1002/adfm.201505380,Crystal engineering
10.1002/adfm.201600650,Functional materials
10.1002/adfm.201600827,Functional materials
10.1002/adfm.201601193,Functional materials
10.1002/adfm.201601550,Functional materials
10.1002/adfm.201604311,Functional materials
10.1002/adfm.201705137,Functional materials
10.1002/adfm.201705588,Functional materials
10.1002/adfm.201805372,Chemical synthesis
10.1002/adfm.201806720,Crystal engineering
10.1002/adfm.201808466,Chemical synthesis
10.1002/adfm.201903341,Functional materials
10.1002/adfm.201907089,Functional materials
10.1002/adfm.202001648,Functional materials
10.1002/adfm.202005517,Functional materials
10.1002/adfm.202008357,Functional materials
10.1002/adfm.202011146,Functional materials
10.1002/adfm.202102582,Chemical synthesis
10.1002/adfm.202102868,Chemical synthesis
10.1002/adfm.202105267,Functional materials
10.1002/adfm.202105395,Functional materials
10.1002/adfm.202105577,Functional materials
10.1002/adfm.202112517,Chemical synthesis
10.1002/adfm.202204065,Functional materials
10.1002/adfm.202208148,Chemical synthesis
10.1002/adfm.202212283,Functional materials
10.1002/adfm.202213039,Functional materials
10.1002/adfm.202214262,Chemical synthesis
10.1002/adfm.202214307,Functional materials
10.1002/adfm.202302630,Theory & modeling
10.1002/adfm.202303644,Functional materials
10.1002/adfm.202307369,Functional materials
10.1002/adfm.202308847,Functional materials
10.1002/adfm.202403644,Functional materials
10.1002/adfm.202404631,Theory & modeling
10.1002/adfm.202404680,Crystal engineering
10.1002/adfm.202410751,Chemical synthesis
10.1002/adfm.202410931,Functional materials
10.1002/adfm.202416717,Functional materials
10.1002/adfm.202500210,Functional materials
10.1002/adfm.202501344,Functional materials
10.1002/adfm.202504117,Functional materials
10.1002/adfm.202504916,Chemical synthesis
10.1002/adfm.202509095,Functional materials
10.1002/adhm.201600818,Functional materials
10.1002/adhm.201800950,Functional materials
10.1002/adma.200601604,Chemical synthesis
10.1002/adma.200903765,Functional materials
10.1002/adma.200903867,Crystal engineering
10.1002/adma.201000844,Functional materials
10.1002/adma.201000857,Functional materials
10.1002/adma.201004208,Chemical synthesis
10.1002/adma.201101852,Crystal engineering
10.1002/adma.201101952,Theory & modeling
10.1002/adma.201104922,Chemical synthesis
10.1002/adma.201202447,Functional materials
10.1002/adma.201403827,Functional materials
10.1002/adma.201500789,Chemical synthesis
10.1002/adma.201602782,Chemical synthesis
10.1002/adma.201606134,Functional materials
10.1002/adma.201606290,Functional materials
10.1002/adma.201606949,Theory & modeling
10.1002/adma.201701804,Functional materials
10.1002/adma.201702953,Functional materials
10.1002/adma.201704388,Functional materials
10.1002/adma.201704944,Crystal engineering
10.1002/adma.201705869,Functional materials
10.1002/adma.201707234,Chemical synthesis
10.1002/adma.201800202,Chemical synthesis
10.1002/adma.201802497,Chemical synthesis
10.1002/adma.201804169,Functional materials
10.1002/adma.201805871,Functional materials
10.1002/adma.201806163,Functional materials
10.1002/adma.201806334,Chemical synthesis
10.1002/adma.201807553,Chemical synthesis
10.1002/adma.201900104,Functional materials
10.1002/adma.201901570,Functional materials
10.1002/adma.201907063,Functional materials
10.1002/adma.201907601,Functional materials
10.1002/adma.202005745,Functional materials
10.1002/adma.202101216,Functional materials
10.1002/adma.202101257,Functional materials
10.1002/adma.202101777,Chemical synthesis
10.1002/adma.202103316,Functional materials
10.1002/adma.202105002,Chemical synthesis
10.1002/adma.202106400,Crystal engineering
10.1002/adma.202106607,Crystal engineering
10.1002/adma.202107696,Chemical synthesis
10.1002/adma.202109203,Functional materials
10.1002/adma.202202504,Functional materials
10.1002/adma.202204553,Functional materials
10.1002/adma.202206706,Functional materials
10.1002/adma.202210613,Chemical synthesis
10.1002/adma.202211302,Functional materials
10.1002/adma.202211729,Functional materials
10.1002/adma.202300951,Chemical synthesis
10.1002/adma.202304832,Crystal engineering
10.1002/adma.202306275,Theory & modeling
10.1002/adma.202308427,Crystal engineering
10.1002/adma.202310061,Functional materials
10.1002/adma.202312325,Functional materials
10.1002/adma.202401739,Functional materials
10.1002/adma.202403328,Functional materials
10.1002/adma.202403834,Functional materials
10.1002/adma.202407154,Functional materials
10.1002/adma.202412071,Functional materials
10.1002/adma.202414151,Crystal engineering
10.1002/adma.202414362,Functional materials
10.1002/adma.202418344,Functional materials
10.1002/adma.202500370,Crystal engineering
10.1002/admi.201400040,Functional materials
10.1002/admi.201800032,Functional materials
10.1002/admi.201800287,Functional materials
10.1002/admi.201801062,Functional materials
10.1002/admi.201801895,Functional materials
10.1002/admi.201902098,Crystal engineering
10.1002/admi.202100586,Functional materials
10.1002/admi.202100730,Functional materials
10.1002/admi.202101678,Functional materials
10.1002/admi.202101908,Functional materials
10.1002/admi.202102086,Functional materials
10.1002/admi.202201099,Functional materials
10.1002/admi.202201532,Chemical synthesis
10.1002/admi.202201753,Functional materials
10.1002/admi.202201771,Theory & modeling
10.1002/admi.202202031,Crystal engineering
10.1002/admi.202300075,Functional materials
10.1002/admt.201800413,Crystal engineering
10.1002/admt.201800666,Chemical synthesis
10.1002/admt.202001184,Chemical synthesis
10.1002/admt.202301456,Functional materials
10.1002/adom.201900336,Chemical synthesis
10.1002/adom.202001421,Chemical synthesis
10.1002/adom.202200058,Crystal engineering
10.1002/adom.202200213,Functional materials
10.1002/adom.202200484,Crystal engineering
10.1002/adom.202201856,Functional materials
10.1002/adom.202300142,Crystal engineering
10.1002/adom.202300856,Functional materials
10.1002/adom.202302309,Chemical synthesis
10.1002/adom.202302405,Functional materials
10.1002/adom.202401081,Functional materials
10.1002/adom.202402127,Functional materials
10.1002/adsc.201000808,Chemical synthesis
10.1002/adsc.201300554,Chemical synthesis
10.1002/adsc.201300611,Functional materials
10.1002/adsc.201600364,Chemical synthesis
10.1002/adsc.201601072,Functional materials
10.1002/adsc.201800486,Functional materials
10.1002/adsc.201800817,Functional materials
10.1002/adsc.201800875,Functional materials
10.1002/adsc.201801223,Chemical synthesis
10.1002/adsc.202000499,Chemical synthesis
10.1002/adsc.202401414,Functional materials
10.1002/adsc.202401540,Chemical synthesis
10.1002/adsu.201600028,Functional materials
10.1002/adsu.201700092,Functional materials
10.1002/adsu.201800053,Functional materials
10.1002/adsu.202000059,Functional materials
10.1002/adsu.202100317,Functional materials
10.1002/adsu.202300269,Theory & modeling
10.1002/advs.201600048,Functional materials
10.1002/advs.201801526,Functional materials
10.1002/advs.201802056,Crystal engineering
10.1002/advs.201802059,Functional materials
10.1002/advs.201802365,Functional materials
10.1002/advs.201900250,Functional materials
10.1002/advs.201902897,Functional materials
10.1002/advs.202004456,Functional materials
10.1002/advs.202206748,Functional materials
10.1002/advs.202305786,Functional materials
10.1002/advs.202305833,Chemical synthesis
10.1002/advs.202310189,Functional materials
10.1002/advs.202401070,Theory & modeling
10.1002/advs.202407984,Functional materials
10.1002/advs.202412592,Chemical synthesis
10.1002/advs.202416540,Functional materials
10.1002/advs.202501824,Functional materials
10.1002/advs.202504713,Functional materials
10.1002/aelm.202100871,Functional materials
10.1002/aelm.202400773,Functional materials
10.1002/aenm.201500107,Functional materials
10.1002/aenm.201500867,Functional materials
10.1002/aenm.201701416,Functional materials
10.1002/aenm.202401887,Functional materials
10.1002/aenm.202500211,Functional materials
10.1002/ajoc.201402019,Functional materials
10.1002/ajoc.201900556,Functional materials
10.1002/ajoc.201900569,Chemical synthesis
10.1002/ajoc.201900708,Functional materials
10.1002/ajoc.202000726,Chemical synthesis
10.1002/ajoc.202100535,Functional materials
10.1002/ajoc.202100811,Chemical synthesis
10.1002/ajoc.202300085,Functional materials
10.1002/ajoc.202300642,Chemical synthesis
10.1002/anie.201307340,Crystal engineering
10.1002/anie.201307681,Chemical synthesis
10.1002/anie.201308589,Chemical synthesis
10.1002/anie.201310443,Functional materials
10.1002/anie.201400581,Functional materials
10.1002/anie.201402950,Chemical synthesis
10.1002/anie.201402951,Chemical synthesis
10.1002/anie.201406484,Crystal engineering
10.1002/anie.201406501,Functional materials
10.1002/anie.201407026,Chemical synthesis
10.1002/anie.201408101,Functional materials
10.1002/anie.201410459,Functional materials
10.1002/anie.201411735,Crystal engineering
10.1002/anie.201411854,Functional materials
10.1002/anie.201411862,Functional materials
10.1002/anie.201500220,Chemical synthesis
10.1002/anie.201503362,Functional materials
10.1002/anie.201504786,Functional materials
10.1002/anie.201505461,Chemical synthesis
10.1002/anie.201505508,Functional materials
10.1002/anie.201505512,Theory & modeling
10.1002/anie.201506391,Functional materials
10.1002/anie.201506888,Crystal engineering
10.1002/anie.201508107,Functional materials
10.1002/anie.201508763,Crystal engineering
10.1002/anie.201509213,Functional materials
10.1002/anie.201509352,Functional materials
10.1002/anie.201511009,Chemical synthesis
10.1002/anie.201511063,Crystal engineering
10.1002/anie.201512054,Functional materials
10.1002/anie.201600896,Crystal engineering
10.1002/anie.201601754,Functional materials
10.1002/anie.201602274,Chemical synthesis
10.1002/anie.201602667,Functional materials
