DOI,Publisher,DOI Link,Downloaded
10.1002/adfm.200600944,publisher_W,https://doi.org/10.1002/adfm.200600944,1
10.1002/adfm.201002517,publisher_W,https://doi.org/10.1002/adfm.201002517,1
10.1002/adfm.201002529,publisher_W,https://doi.org/10.1002/adfm.201002529,1
10.1002/adfm.201101479,publisher_W,https://doi.org/10.1002/adfm.201101479,1
10.1002/adfm.201402972,publisher_W,https://doi.org/10.1002/adfm.201402972,1
10.1002/adfm.201503154,publisher_W,https://doi.org/10.1002/adfm.201503154,1
10.1002/adfm.201505380,publisher_W,https://doi.org/10.1002/adfm.201505380,1
10.1002/adfm.201600827,publisher_W,https://doi.org/10.1002/adfm.201600827,1
10.1002/adfm.201705588,publisher_W,https://doi.org/10.1002/adfm.201705588,1
10.1002/adfm.201805372,publisher_W,https://doi.org/10.1002/adfm.201805372,1
10.1002/adfm.201806720,publisher_W,https://doi.org/10.1002/adfm.201806720,1
10.1002/adfm.201808466,publisher_W,https://doi.org/10.1002/adfm.201808466,1
10.1002/adfm.202008357,publisher_W,https://doi.org/10.1002/adfm.202008357,1
10.1002/adfm.202102582,publisher_W,https://doi.org/10.1002/adfm.202102582,1
10.1002/adfm.202102868,publisher_W,https://doi.org/10.1002/adfm.202102868,1
10.1002/adfm.202105395,publisher_W,https://doi.org/10.1002/adfm.202105395,1
10.1002/adfm.202105577,publisher_W,https://doi.org/10.1002/adfm.202105577,1
10.1002/adfm.202204065,publisher_W,https://doi.org/10.1002/adfm.202204065,1
10.1002/adfm.202208148,publisher_W,https://doi.org/10.1002/adfm.202208148,1
10.1002/adfm.202213039,publisher_W,https://doi.org/10.1002/adfm.202213039,1
10.1002/adfm.202214262,publisher_W,https://doi.org/10.1002/adfm.202214262,1
10.1002/adfm.202214307,publisher_W,https://doi.org/10.1002/adfm.202214307,1
10.1002/adfm.202303644,publisher_W,https://doi.org/10.1002/adfm.202303644,1
10.1002/adfm.202307369,publisher_W,https://doi.org/10.1002/adfm.202307369,1
10.1002/adfm.202403644,publisher_W,https://doi.org/10.1002/adfm.202403644,1
10.1002/adfm.202404680,publisher_W,https://doi.org/10.1002/adfm.202404680,1
10.1002/adfm.202410931,publisher_W,https://doi.org/10.1002/adfm.202410931,1
10.1002/adfm.202500210,publisher_W,https://doi.org/10.1002/adfm.202500210,1
10.1002/adfm.202501344,publisher_W,https://doi.org/10.1002/adfm.202501344,1
10.1002/adfm.202504117,publisher_W,https://doi.org/10.1002/adfm.202504117,1
10.1002/adfm.202504916,publisher_W,https://doi.org/10.1002/adfm.202504916,1
10.1002/adfm.202509095,publisher_W,https://doi.org/10.1002/adfm.202509095,1
10.1002/adhm.201800950,publisher_W,https://doi.org/10.1002/adhm.201800950,0
10.1002/adma.201000857,publisher_W,https://doi.org/10.1002/adma.201000857,1
10.1002/adma.201606290,publisher_W,https://doi.org/10.1002/adma.201606290,1
10.1002/adma.201701804,publisher_W,https://doi.org/10.1002/adma.201701804,1
10.1002/adma.201704388,publisher_W,https://doi.org/10.1002/adma.201704388,1
10.1002/adma.201705869,publisher_W,https://doi.org/10.1002/adma.201705869,1
10.1002/adma.201707234,publisher_W,https://doi.org/10.1002/adma.201707234,0
10.1002/adma.201802497,publisher_W,https://doi.org/10.1002/adma.201802497,1
10.1002/adma.201901570,publisher_W,https://doi.org/10.1002/adma.201901570,1
10.1002/adma.202101257,publisher_W,https://doi.org/10.1002/adma.202101257,1
10.1002/adma.202106607,publisher_W,https://doi.org/10.1002/adma.202106607,1
10.1002/adma.202202504,publisher_W,https://doi.org/10.1002/adma.202202504,1
10.1002/adma.202204553,publisher_W,https://doi.org/10.1002/adma.202204553,1
10.1002/adma.202210613,publisher_W,https://doi.org/10.1002/adma.202210613,1
10.1002/adma.202211302,publisher_W,https://doi.org/10.1002/adma.202211302,1
10.1002/adma.202304832,publisher_W,https://doi.org/10.1002/adma.202304832,1
10.1002/adma.202308427,publisher_W,https://doi.org/10.1002/adma.202308427,1
10.1002/adma.202403328,publisher_W,https://doi.org/10.1002/adma.202403328,1
10.1002/adma.202403834,publisher_W,https://doi.org/10.1002/adma.202403834,1
10.1002/adma.202407154,publisher_W,https://doi.org/10.1002/adma.202407154,1
