DOI,Publisher,DOI Link,Classification
10.1021/ic051900p,publisher_A,https://doi.org/10.1021/ic051900p,Functional materials
10.1002/ejic.201701393,publisher_W,https://doi.org/10.1002/ejic.201701393,Functional materials
10.1039/d3ce00138e,publisher_R,https://doi.org/10.1039/d3ce00138e,Crystal engineering
10.1021/ic011192h,publisher_A,https://doi.org/10.1021/ic011192h,Crystal engineering
10.1039/b810414j,publisher_R,https://doi.org/10.1039/b810414j,Functional materials
10.1039/b905707b,publisher_R,https://doi.org/10.1039/b905707b,Crystal engineering
10.1002/ejic.201500431,publisher_W,https://doi.org/10.1002/ejic.201500431,Functional materials
10.1039/b202220f,publisher_R,https://doi.org/10.1039/b202220f,Crystal engineering
10.1002/ejic.201100789,publisher_W,https://doi.org/10.1002/ejic.201100789,Crystal engineering
10.1021/ic100880j,publisher_A,https://doi.org/10.1021/ic100880j,Chemical synthesis
10.1021/ic700893w,publisher_A,https://doi.org/10.1021/ic700893w,Crystal engineering
10.1002/zaac.201300050,publisher_W,https://doi.org/10.1002/zaac.201300050,Crystal engineering
10.1039/c2ce26940f,publisher_R,https://doi.org/10.1039/c2ce26940f,Crystal engineering
10.1039/c2dt30362k,publisher_R,https://doi.org/10.1039/c2dt30362k,Crystal engineering
10.1021/ic403148f,publisher_A,https://doi.org/10.1021/ic403148f,Crystal engineering
10.1039/c4dt01022a,publisher_R,https://doi.org/10.1039/c4dt01022a,Crystal engineering
10.1021/cg200571y,publisher_A,https://doi.org/10.1021/cg200571y,Crystal engineering
10.1021/acs.cgd.7b00575,publisher_A,https://doi.org/10.1021/acs.cgd.7b00575,Functional materials
10.1021/ic802294e,publisher_A,https://doi.org/10.1021/ic802294e,Crystal engineering
10.1002/ejic.201100523,publisher_W,https://doi.org/10.1002/ejic.201100523,Functional materials
10.1039/c4qi00129j,publisher_R,https://doi.org/10.1039/c4qi00129j,Crystal engineering
10.1002/asia.200900078,publisher_W,https://doi.org/10.1002/asia.200900078,Crystal engineering
10.1002/ejic.200800434,publisher_W,https://doi.org/10.1002/ejic.200800434,Functional materials
10.1002/slct.201700237,publisher_W,https://doi.org/10.1002/slct.201700237,Functional materials
10.1039/c8nj05701j,publisher_R,https://doi.org/10.1039/c8nj05701j,Crystal engineering
10.1039/c7ce01773a,publisher_R,https://doi.org/10.1039/c7ce01773a,Crystal engineering
10.1039/b900522f,publisher_R,https://doi.org/10.1039/b900522f,Crystal engineering
10.1039/c6ce00885b,publisher_R,https://doi.org/10.1039/c6ce00885b,Functional materials
10.1039/d0ce01581d,publisher_R,https://doi.org/10.1039/d0ce01581d,Functional materials
10.1039/d2qi00404f,publisher_R,https://doi.org/10.1039/d2qi00404f,Functional materials
10.1002/anie.201912911,publisher_W,https://doi.org/10.1002/anie.201912911,Chemical synthesis
10.1039/d4qi01273a,publisher_R,https://doi.org/10.1039/d4qi01273a,Functional materials
10.1039/d2qi00799a,publisher_R,https://doi.org/10.1039/d2qi00799a,Crystal engineering
