DOI,Publication Year
10.1002/adem.201400565,2015
10.1002/adem.202201335,2023
10.1002/adem.202400825,2024
10.1002/adfm.200600944,2007
10.1002/adfm.200901461,2009
10.1002/adfm.201002517,2011
10.1002/adfm.201002529,2011
10.1002/adfm.201101479,2011
10.1002/adfm.201400116,2014
10.1002/adfm.201402972,2015
10.1002/adfm.201503154,2015
10.1002/adfm.201505380,2016
10.1002/adfm.201600650,2016
10.1002/adfm.201600827,2016
10.1002/adfm.201601193,2016
10.1002/adfm.201601550,2016
10.1002/adfm.201604311,2017
10.1002/adfm.201705137,2018
10.1002/adfm.201705588,2018
10.1002/adfm.201805372,2019
10.1002/adfm.201806720,2019
10.1002/adfm.201808466,2019
10.1002/adfm.201903341,2019
10.1002/adfm.201907089,2020
10.1002/adfm.202001648,2020
10.1002/adfm.202005517,2020
10.1002/adfm.202008357,2021
10.1002/adfm.202011146,2021
10.1002/adfm.202102582,2021
10.1002/adfm.202102868,2021
10.1002/adfm.202105267,2022
10.1002/adfm.202105395,2021
10.1002/adfm.202105577,2021
10.1002/adfm.202112517,2022
10.1002/adfm.202204065,2022
10.1002/adfm.202208148,2022
10.1002/adfm.202212283,2023
10.1002/adfm.202213039,2023
10.1002/adfm.202214262,2023
10.1002/adfm.202214307,2023
10.1002/adfm.202302630,2024
10.1002/adfm.202303644,2023
10.1002/adfm.202307369,2023
10.1002/adfm.202308847,2024
10.1002/adfm.202403644,2024
10.1002/adfm.202404631,2024
10.1002/adfm.202404680,2024
10.1002/adfm.202410751,2024
10.1002/adfm.202410931,2024
10.1002/adfm.202416717,2025
10.1002/adfm.202500210,2025
10.1002/adfm.202501344,2025
10.1002/adfm.202504117,2025
10.1002/adfm.202504916,2025
10.1002/adfm.202509095,2025
10.1002/adhm.201600818,2017
10.1002/adhm.201800950,2018
10.1002/adma.200601604,2007
10.1002/adma.200903765,2010
10.1002/adma.200903867,2010
10.1002/adma.201000844,2010
10.1002/adma.201000857,2010
10.1002/adma.201004208,2011
10.1002/adma.201101852,2011
10.1002/adma.201101952,2011
10.1002/adma.201104922,2012
10.1002/adma.201202447,2012
10.1002/adma.201403827,2015
10.1002/adma.201500789,2015
10.1002/adma.201602782,2017
10.1002/adma.201606134,2017
10.1002/adma.201606290,2017
10.1002/adma.201606949,2017
10.1002/adma.201701804,2017
10.1002/adma.201702953,2017
10.1002/adma.201704388,2018
10.1002/adma.201704944,2018
10.1002/adma.201705869,2018
10.1002/adma.201707234,2018
10.1002/adma.201800202,2018
10.1002/adma.201802497,2018
10.1002/adma.201804169,2018
10.1002/adma.201805871,2020
10.1002/adma.201806163,2020
10.1002/adma.201806334,2019
10.1002/adma.201807553,2019
10.1002/adma.201900104,2019
10.1002/adma.201901570,2019
10.1002/adma.201907063,2020
10.1002/adma.201907601,2020
10.1002/adma.202005745,2021
10.1002/adma.202101216,2021
10.1002/adma.202101257,2021
10.1002/adma.202101777,2021
10.1002/adma.202103316,2021
10.1002/adma.202105002,2021
10.1002/adma.202106400,2022
10.1002/adma.202106607,2022
10.1002/adma.202107696,2022
10.1002/adma.202109203,2022
10.1002/adma.202202504,2022
10.1002/adma.202204553,2023
10.1002/adma.202206706,2022
10.1002/adma.202210613,2024
10.1002/adma.202211302,2024
10.1002/adma.202211729,2023
10.1002/adma.202300951,2024
10.1002/adma.202304832,2024
10.1002/adma.202306275,2024
10.1002/adma.202308427,2024
10.1002/adma.202310061,2024
10.1002/adma.202312325,2024
10.1002/adma.202401739,2024
10.1002/adma.202403328,2024
10.1002/adma.202403834,2024
10.1002/adma.202407154,2025
10.1002/adma.202412071,2025
10.1002/adma.202414151,2025
10.1002/adma.202414362,2025
10.1002/adma.202418344,2025
10.1002/adma.202500370,2025
10.1002/admi.201400040,2014
10.1002/admi.201800032,2018
10.1002/admi.201800287,2018
10.1002/admi.201801062,2018
10.1002/admi.201801895,2019
10.1002/admi.201902098,2020
10.1002/admi.202100586,2021
10.1002/admi.202100730,2021
10.1002/admi.202101678,2022
10.1002/admi.202101908,2022
10.1002/admi.202102086,2022
10.1002/admi.202201099,2022
10.1002/admi.202201532,2023
10.1002/admi.202201753,2023
10.1002/admi.202201771,2023
10.1002/admi.202202031,2023
10.1002/admi.202300075,2023
10.1002/admt.201800413,2019
10.1002/admt.201800666,2019
10.1002/admt.202001184,2021
10.1002/admt.202301456,2024
10.1002/adom.201900336,2019
10.1002/adom.202001421,2021
10.1002/adom.202200058,2022
10.1002/adom.202200213,2022
10.1002/adom.202200484,2022
10.1002/adom.202201856,2023
10.1002/adom.202300142,2023
10.1002/adom.202300856,2023
10.1002/adom.202302309,2024
10.1002/adom.202302405,2024
10.1002/adom.202401081,2024
10.1002/adom.202402127,2025
10.1002/adsc.201000808,2011
10.1002/adsc.201300554,2013
10.1002/adsc.201300611,2013
10.1002/adsc.201600364,2016
10.1002/adsc.201601072,2017
10.1002/adsc.201800486,2018
10.1002/adsc.201800817,2018
10.1002/adsc.201800875,2018
10.1002/adsc.201801223,2019
10.1002/adsc.202000499,2020
10.1002/adsc.202401414,2025
10.1002/adsc.202401540,2025
10.1002/adsu.201600028,2017
10.1002/adsu.201700092,2017
10.1002/adsu.201800053,2018
10.1002/adsu.202000059,2020
10.1002/adsu.202100317,2022
10.1002/adsu.202300269,2023
10.1002/advs.201600048,2016
10.1002/advs.201801526,2019
10.1002/advs.201802056,2019
10.1002/advs.201802059,2019
10.1002/advs.201802365,2019
10.1002/advs.201900250,2019
10.1002/advs.201902897,2020
10.1002/advs.202004456,2021
10.1002/advs.202206748,2023
10.1002/advs.202305786,2024
10.1002/advs.202305833,2024
10.1002/advs.202310189,2024
10.1002/advs.202401070,2024
10.1002/advs.202407984,2024
10.1002/advs.202412592,2025
10.1002/advs.202416540,2025
10.1002/advs.202501824,2025
10.1002/advs.202504713,2025
10.1002/aelm.202100871,2022
10.1002/aelm.202400773,2025
10.1002/aenm.201500107,2015
10.1002/aenm.201500867,2015
10.1002/aenm.201701416,2018
10.1002/aenm.202401887,2024
10.1002/aenm.202500211,2025
10.1002/ajoc.201402019,2014
10.1002/ajoc.201900556,2019
10.1002/ajoc.201900569,2019
10.1002/ajoc.201900708,2020
10.1002/ajoc.202000726,2021
10.1002/ajoc.202100535,2021
10.1002/ajoc.202100811,2022
10.1002/ajoc.202300085,2023
10.1002/ajoc.202300642,2024
10.1002/anie.201307340,2014
10.1002/anie.201307681,2014
10.1002/anie.201308589,2014
10.1002/anie.201310443,2014
10.1002/anie.201400581,2014
10.1002/anie.201402950,2014
10.1002/anie.201402951,2014
10.1002/anie.201406484,2014
10.1002/anie.201406501,2015
10.1002/anie.201407026,2014
10.1002/anie.201408101,2015
10.1002/anie.201410459,2015
10.1002/anie.201411735,2015
10.1002/anie.201411854,2015
10.1002/anie.201411862,2015
10.1002/anie.201500220,2015
10.1002/anie.201503362,2015
10.1002/anie.201504786,2015
10.1002/anie.201505461,2015
10.1002/anie.201505508,2015
10.1002/anie.201505512,2015
10.1002/anie.201506391,2015
10.1002/anie.201506888,2015
10.1002/anie.201508107,2016
10.1002/anie.201508763,2016
10.1002/anie.201509213,2016
10.1002/anie.201509352,2016
10.1002/anie.201511009,2016
10.1002/anie.201511063,2016
10.1002/anie.201512054,2016
10.1002/anie.201600896,2016
10.1002/anie.201601754,2016
10.1002/anie.201602274,2016
10.1002/anie.201602667,2016
10.1002/anie.201603320,2016
10.1002/anie.201603687,2016
10.1002/anie.201604730,2016
10.1002/anie.201604879,2016
10.1002/anie.201605547,2016
10.1002/anie.201608463,2016
10.1002/anie.201610914,2017
10.1002/anie.201611785,2017
10.1002/anie.201612587,2017
10.1002/anie.201701217,2017
10.1002/anie.201701604,2017
10.1002/anie.201702162,2017
10.1002/anie.201706721,2017
10.1002/anie.201707238,2017
10.1002/anie.201707367,2017
10.1002/anie.201708092,2018
10.1002/anie.201708843,2017
