source_row_id,doi_norm,publication_year,condition_key,cluster_key,is_success,is_forced_condition,is_forced_representative,split
0,10.1021/jacs.5c08726,,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 20.0, ""metal_precursor"": ""zn(no3)2.6h2o"", ""modulator"": null, ""organic_linker"": ""2-nitroterephthalic acid and 4,4'-azobis(pyridine)"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 25.0, ""time_h"": 360.0}","metal=zn(no3)2.6h2o|linker=2-nitroterephthalic acid + 4,4'-azobis(pyridine)|solvent=dimethylformamide",True,True,True,holdout
1,10.1038/s41560-018-0261-6,2018.0,"{""M_L_ratio"": 1.52, ""metal_concentration_mM"": 200.0, ""metal_precursor"": ""fe powder"", ""modulator"": ""hydrofluoric acid (hf) and nitric acid (65%)"", ""organic_linker"": ""benzene-1,3,5-tricarboxylic acid"", ""solvent"": ""water"", ""temperature_C"": 150.0, ""time_h"": 144.0}","metal=fe powder|linker=benzene-1,3,5-tricarboxylic acid|solvent=water",True,False,False,train
2,10.1038/s41560-018-0261-6,2018.0,"{""M_L_ratio"": 5.09, ""metal_concentration_mM"": 40.0, ""metal_precursor"": ""zrcl4"", ""modulator"": ""benzoic acid"", ""organic_linker"": ""tetrakis(4-carboxyphenyl)porphyrin"", ""solvent"": ""n,n-diethylformamide"", ""temperature_C"": 120.0, ""time_h"": 48.0}","metal=zrcl4|linker=tetrakis(4-carboxyphenyl)porphyrin|solvent=n,n-diethylformamide",True,False,False,holdout
3,10.1038/s41560-018-0261-6,2018.0,"{""M_L_ratio"": 10.18, ""metal_concentration_mM"": 64.0, ""metal_precursor"": ""zrcl4"", ""modulator"": ""benzoic acid"", ""organic_linker"": ""tetrakis(4-carboxyphenyl)porphyrin"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=zrcl4|linker=tetrakis(4-carboxyphenyl)porphyrin|solvent=dimethylformamide,True,False,False,train
4,10.1038/s41560-018-0261-6,2018.0,"{""M_L_ratio"": 1.45, ""metal_concentration_mM"": 80.0, ""metal_precursor"": ""zrocl2.8h2o"", ""modulator"": ""formic acid"", ""organic_linker"": ""benzene-1,3,5-tricarboxylic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 110.0, ""time_h"": 48.0}","metal=zrocl2.8h2o|linker=benzene-1,3,5-tricarboxylic acid|solvent=dimethylformamide",True,False,False,holdout
5,10.1038/s41560-018-0261-6,2018.0,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 150.0, ""metal_precursor"": ""zrcl4"", ""modulator"": ""acetic acid"", ""organic_linker"": ""terephthalic acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 120.0, ""time_h"": 24.0}",metal=zrcl4|linker=terephthalic acid|solvent=dimethylformamide,True,False,False,train
6,10.1038/s41560-018-0261-6,2018.0,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 208.0, ""metal_precursor"": ""cr(no3)3.9h2o"", ""modulator"": ""hydrofluoric acid (hf)"", ""organic_linker"": ""terephthalic acid"", ""solvent"": ""water"", ""temperature_C"": 220.0, ""time_h"": 8.0}",metal=cr(no3)3.9h2o|linker=terephthalic acid|solvent=water,True,False,False,holdout
7,10.1038/s41560-018-0261-6,2018.0,"{""M_L_ratio"": 1.0, ""metal_concentration_mM"": 312.0, ""metal_precursor"": ""zrocl2.8h2o"", ""modulator"": ""formic acid"", ""organic_linker"": ""fumaric acid"", ""solvent"": ""dimethylformamide"", ""temperature_C"": 130.0, ""time_h"": 6.0}",metal=zrocl2.8h2o|linker=fumaric acid|solvent=dimethylformamide,True,True,True,holdout
8,10.1021/acs.cgd.6b01732,2017.0,"{""M_L_ratio"": 0.5, ""metal_concentration_mM"": 5.0, ""metal_precursor"": ""cu(no3)2.1h2o"", ""modulator"": null, ""organic_linker"": ""tetracarboxylic meta-substituted four-wall aryl-extended calix[4]pyrrole"", ""solvent"": ""dimethylformamide and water"", ""temperature_C"": 100.0, ""time_h"": 24.0}",metal=cu(no3)2.1h2o|linker=tetracarboxylic meta-substituted four-wall aryl-extended calix[4]pyrrole|solvent=dimethylformamide + water,True,False,False,train
9,10.1021/acs.analchem.5b00391,2015.0,"{""M_L_ratio"": 3.0, ""metal_concentration_mM"": 28.0, ""metal_precursor"": ""zn(no3)2.6h2o"", ""modulator"": ""nitric acid and tris(2,2'-bipyridine) ruthenium(ii) chloride hexahydrate"", ""organic_linker"": ""adenine and 4,4'-biphenyl dicarboxylic acid"", ""solvent"": ""dimethylformamide and water"", ""temperature_C"": 130.0, ""time_h"": 24.0}","metal=zn(no3)2.6h2o|linker=4,4'-biphenyl dicarboxylic acid + adenine|solvent=dimethylformamide + water",True,False,False,train
