doi,main_pdf,si_pdf,raw_output,parsed_json,article_trial_or_failure,article_trial_or_failure_notes,mof_name,crystal_code,metal_1,metal_1_abbr,metal_1_amount_text,metal_1_amount_value,metal_1_amount_unit,metal_2,metal_2_abbr,metal_2_amount_text,metal_2_amount_value,metal_2_amount_unit,metal_3,metal_3_abbr,metal_3_amount_text,metal_3_amount_value,metal_3_amount_unit,linker_1,linker_1_abbr,linker_1_amount_text,linker_1_amount_value,linker_1_amount_unit,linker_2,linker_2_abbr,linker_2_amount_text,linker_2_amount_value,linker_2_amount_unit,linker_3,linker_3_abbr,linker_3_amount_text,linker_3_amount_value,linker_3_amount_unit,modulator_1,modulator_1_abbr,modulator_1_amount_text,modulator_1_amount_value,modulator_1_amount_unit,modulator_2,modulator_2_abbr,modulator_2_amount_text,modulator_2_amount_value,modulator_2_amount_unit,solvent_main,solvent_main_abbr,solvent_main_amount_text,solvent_main_ml,solvent_secondary,solvent_secondary_abbr,solvent_secondary_amount_text,solvent_secondary_ml,temperature_c,temperature_c_text,time_h,time_text,vessel_type,stirring,washing_solvent,washing_cycles,activation_text,activation_temp_c,activation_time_h,crystal_morphology,yield_percent,crystal_size,topology_code,metal_cluster_connectivity,unit_cell_short,pore_diameter_A,BET_surface_area_m2g,air_stable,water_stable,tga_decomposition_temp_c,applications,reference,status,error
10.1021/jacs.5c08726,downloaded\10.1021_jacs.5c08726.pdf,SI downloaded\10.1021_jacs.5c08726_SI.pdf,mof_json_store\10.1021_jacs.5c08726\raw_output.json,mof_json_store\10.1021_jacs.5c08726\synthesis_001.json,no,,IITKGP-39,2435364,Zn(NO3)2·6H2O,,"0.1 mmol, 0.0297 g",0.1,mmol,nan,,,,,nan,,,,,2-nitroterephthalic acid,NO2-BDC,"0.1 mmol, 0.021 g",0.1,mmol,"4,4′-azobis(pyridine)",L1,"0.05 mmol, 0.0092 g",0.05,mmol,,,,,,,,,,,,,,,,"N,N-dimethylformamide",DMF,5 mL,5,,,,,25,room temperature,360,15 days (after stirring 1 h),,"stirred 1 h, then static",CHCl3,solvent exchange for 3 days,70 °C under vacuum for 10 h,70,10,reddish-orange crystals,60,,pcu,dinuclear Zn(II) paddlewheel SBU,"a=16.961(3) Å, b=13.766(3) Å, c=16.023(3) Å, β=91.54(3)°, C2/c (monoclinic)",5.6,296,yes,yes,330,ethylene purification;acetylene separation,10.1021/jacs.5c08726,ok,
10.1038/s41560-018-0261-6,downloaded\10.1038_s41560-018-0261-6.pdf,SI downloaded\10.1038_s41560-018-0261-6_SI.pdf,mof_json_store\10.1038_s41560-018-0261-6\raw_output.json,mof_json_store\10.1038_s41560-018-0261-6\synthesis_002.json,no,,MIL-100(Fe),,ZrCl4,,"56 mg, 1 mmol",1,mmol,nan,,,,,nan,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,"139 mg, 0.66 mmol",0.66,mmol,,,,,,,,,,,hydrofluoric acid (HF),,"40 mg, 2 mmol",2,mmol,nitric acid (65%),,"116 mg, 1.2 mmol",1.2,mmol,water,H2O,5 mL,5,,,,,150,,144,6 days,Teflon-lined autoclave,pre-stirred 10 min; static during solvothermal,,,,,,,,,,,,,,not_reported,not_reported,,,10.1038/s41560-018-0261-6,ok,
10.1038/s41560-018-0261-6,downloaded\10.1038_s41560-018-0261-6.pdf,SI downloaded\10.1038_s41560-018-0261-6_SI.pdf,mof_json_store\10.1038_s41560-018-0261-6\raw_output.json,mof_json_store\10.1038_s41560-018-0261-6\synthesis_004.json,no,,PCN-222,,ZrOCl2·8H2O,,75 mg,0.356711,mmol,nan,,,,,nan,,,,,tetrakis(4-carboxyphenyl)porphyrin,H2TCPP,50 mg,50,mg,,,,,,,,,,,benzoic acid,,2.7 g,2.7,g,,,,,,"N,N-diethylformamide",DEF,8 mL,8,,,,,120,,48,48 h,glass vial,sonicated 20 min; then static,,,,,,,,,csq,,,,,not_reported,not_reported,,,10.1038/s41560-018-0261-6,ok,
10.1038/s41560-018-0261-6,downloaded\10.1038_s41560-018-0261-6.pdf,SI downloaded\10.1038_s41560-018-0261-6_SI.pdf,mof_json_store\10.1038_s41560-018-0261-6\raw_output.json,mof_json_store\10.1038_s41560-018-0261-6\synthesis_005.json,no,,PCN-224,,ZrOCl2·8H2O,,150 mg,0.713421,mmol,nan,,,,,nan,,,,,tetrakis(4-carboxyphenyl)porphyrin,H2TCPP,50 mg,50,mg,,,,,,,,,,,benzoic acid,,2.0 g,2,g,,,,,,"N,N-dimethylformamide",DMF,10 mL,10,,,,,120,,24,24 h,glass vial,sonicated 20 min; then static,,,,,,,,,csq,,,,,not_reported,not_reported,,,10.1038/s41560-018-0261-6,ok,
10.1038/s41560-018-0261-6,downloaded\10.1038_s41560-018-0261-6.pdf,SI downloaded\10.1038_s41560-018-0261-6_SI.pdf,mof_json_store\10.1038_s41560-018-0261-6\raw_output.json,mof_json_store\10.1038_s41560-018-0261-6\synthesis_007.json,no,,MOF-808,,Cr(NO3)3·9H2O,,2.16 g,7.93685,mmol,nan,,,,,nan,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,1.49 g,1.49,g,,,,,,,,,,,formic acid,,133 mL,133,mL,,,,,,"N,N-dimethylformamide",DMF,128 mL,128,,,,,110,,48,48 h,thick-glass jar (sealed),stirred 20 min before heating; then static,"DMF, acetone",,refluxed in DMF and acetone; air dried,,,,,,,,,,,not_reported,not_reported,,,10.1038/s41560-018-0261-6,ok,
10.1038/s41560-018-0261-6,downloaded\10.1038_s41560-018-0261-6.pdf,SI downloaded\10.1038_s41560-018-0261-6_SI.pdf,mof_json_store\10.1038_s41560-018-0261-6\raw_output.json,mof_json_store\10.1038_s41560-018-0261-6\synthesis_008.json,no,,PCN-777,,ZrOCl2·8H2O,,360 mg,1.71221,mmol,nan,,,,,nan,,,,,"4,4′,4″-s-triazine-2,4,6-triyl-tribenzoic acid",TATB,90 mg,90,mg,,,,,,,,,,,trifluoroacetic acid,,0.6 mL,0.6,mL,,,,,,"N,N-diethylformamide",DEF,12 mL,12,,,,,120,,12,12 h,glass vial,sonicated 20 min; then static,,,,,,,,,csq,,,,,not_reported,not_reported,,,10.1038/s41560-018-0261-6,ok,
10.1038/s41560-018-0261-6,downloaded\10.1038_s41560-018-0261-6.pdf,SI downloaded\10.1038_s41560-018-0261-6_SI.pdf,mof_json_store\10.1038_s41560-018-0261-6\raw_output.json,mof_json_store\10.1038_s41560-018-0261-6\synthesis_010.json,no,,UiO-66,,Cu(NO3)2·1H2O,,"700 mg, 3 mmol",3,mmol,nan,,,,,nan,,,,,terephthalic acid,BDC,"500 mg, 3 mmol",3,mmol,,,,,,,,,,,acetic acid,,5 mL,5,mL,,,,,,"N,N-dimethylformamide",DMF,20 mL,20,,,,,120,,24,24 h,round bottom flask,stirred,,,,,,,,,ftw,,,,,not_reported,not_reported,,,10.1038/s41560-018-0261-6,ok,
10.1038/s41560-018-0261-6,downloaded\10.1038_s41560-018-0261-6.pdf,SI downloaded\10.1038_s41560-018-0261-6_SI.pdf,mof_json_store\10.1038_s41560-018-0261-6\raw_output.json,mof_json_store\10.1038_s41560-018-0261-6\synthesis_016.json,no,,MIL-101(Cr),,In(NO3)3·9/2H2O,,"400 mg, 1 mmol",1,mmol,BaCl2·2H2O,,,,,nan,,,,,terephthalic acid,BDC,"164 mg, 1 mmol",1,mmol,,,,,,,,,,,hydrofluoric acid (HF),,1 mmol,1,mmol,,,,,,water,H2O,4.8 mL,4.8,,,,,220,,8,8 h,Teflon-lined autoclave,static,,,,,,,,,mtm,,,,,not_reported,not_reported,,,10.1038/s41560-018-0261-6,ok,
10.1038/s41560-018-0261-6,downloaded\10.1038_s41560-018-0261-6.pdf,SI downloaded\10.1038_s41560-018-0261-6_SI.pdf,mof_json_store\10.1038_s41560-018-0261-6\raw_output.json,mof_json_store\10.1038_s41560-018-0261-6\synthesis_017.json,no,,MOF-801,,FeCl3·6H2O,,10 mmol,10,mmol,nan,,,,,nan,,,,,fumaric acid,,10 mmol,10,mmol,,,,,,,,,,,formic acid,,11 mL,11,mL,,,,,,"N,N-dimethylformamide",DMF,32 mL,32,,,,,130,,6,6 h,Teflon-lined autoclave,static,"DMF, MeOH",three times,150 °C under vacuum for 6 h,150,6,,,,,,,,827,not_reported,not_reported,,,10.1038/s41560-018-0261-6,ok,
10.1021/acs.cgd.6b01732,downloaded\10.1021_acs.cgd.6b01732.pdf,SI downloaded\10.1021_acs.cgd.6b01732_SI.pdf,mof_json_store\10.1021_acs.cgd.6b01732\raw_output.json,mof_json_store\10.1021_acs.cgd.6b01732\synthesis_001.json,yes,No crystalline material without water layering or in homogeneous DMF/H2O.,calixMOF1,1519368,Cu(NO3)2·3H2O,,45 mg (0.205 mmol),0.205,mmol,nan,,,,,nan,,,,,tetracarboxylic meta-substituted four-wall aryl-extended calix[4]pyrrole,L1,400 mg (0.411 mmol),0.411,mmol,,,,,,,,,,,,,,,,,,,,,"N,N-dimethylformamide",DMF,45 mL,45,water,H2O,21 mL (layered under DMF),21,100,100 °C,24,24 h,Teflon-lined autoclave,static,"DMF, EtOH",,dried at 80 °C for 24 h,80,24,blue crystalline powder; single crystals obtained under layered DMF/H2O,,,,Cu4(μ3-OH)2 cluster; two edge-sharing Cu3(OH) triangles,"a=16.241(2), b=16.868(3), c=26.290(2) Å, α=89.457(10)°, β=72.01(2)°, γ=88.243(14)°, P-1",,,not_reported,not_reported,200,,10.1021/acs.cgd.6b01732,ok,
